director,genre,level,rating,runtime,studio,time,title,url,writer
Woody Allen,ComedyDramaRomance,R,95%,96 minutes,United Artists,"Mar 14, 1979",Manhattan,https://www.rottentomatoes.com/m/manhattan,Woody AllenMarshall Brickman
Francis Ford Coppola,Action & AdventureDrama,"R (adult situations/language, violence)",96%,153 minutes,United Artists,"Jan 1, 1979",Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,John MiliusFrancis Ford CoppolaMichael Herr
Ridley Scott,DramaMystery & SuspenseScience Fiction & Fantasy,R (for sci-fi violence/ gore and language),97%,117 minutes,20th Century Fox,"May 25, 1979",Alien,https://www.rottentomatoes.com/m/alien,Dan O'Bannon
David Lynch,Drama,PG,91%,123 minutes,Paramount,"Oct 3, 1980",The Elephant Man,https://www.rottentomatoes.com/m/1006527_elephant_man,Christopher DeVoreEric BergrenChristopher De VoreDavid Lynch
Terrence Malick,Drama,PG,94%,93 minutes,Paramount Pictures,"Sep 13, 1978",Days of Heaven,https://www.rottentomatoes.com/m/days_of_heaven,Terrence Malick
Richard Donner,Action & AdventureDrama,"PG (for peril, some mild sensuality and language)",94%,142 minutes,Warner Bros. Pictures,"Dec 15, 1978",Superman,https://www.rottentomatoes.com/m/superman_the_movie,Mario PuzoLeslie NewmanRobert Benton
Michael Cimino,Cult MoviesDrama,R,94%,183 minutes,Universal Pictures,"Dec 8, 1978",The Deer Hunter,https://www.rottentomatoes.com/m/deer_hunter,Deric WashburnMichael CiminoLouis GarfinkleQuinn K. Redeker
Martin Scorsese,DocumentaryMusical & Performing Arts,PG (adult situations/language),98%,117 minutes,MGM,"May 7, 2002",The Last Waltz,https://www.rottentomatoes.com/m/the_last_waltz_1978,
John BadhamRandal Kleiser,ClassicsDramaMusical & Performing Arts,"R (for strong language, sexuality/nudity and some drug content)",85%,122 minutes,Paramount Pictures,"Dec 19, 1977",Saturday Night Fever,https://www.rottentomatoes.com/m/saturday_night_fever,Norman Wexler
David Lynch,DramaHorrorSpecial Interest,R,91%,89 minutes,Libra Films,"Jan 1, 1977",Eraserhead,https://www.rottentomatoes.com/m/eraserhead,David Lynch
George A. Romero,Action & AdventureHorrorScience Fiction & Fantasy,"R (adult situations/language, violence)",93%,126 minutes,United Film Distribution Compa,"May 24, 1979",Dawn of the Dead,https://www.rottentomatoes.com/m/1005339_dawn_of_the_dead,George A. Romero
Steven Spielberg,Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG (for some intense sci-fi action, mild language and thematic elements)",96%,137 minutes,Sony Pictures Releasing,"Nov 15, 1977",Close Encounters of the Third Kind,https://www.rottentomatoes.com/m/close_encounters_of_the_third_kind,Steven SpielbergJerry Belson
Woody Allen,ComedyRomance,PG,97%,93 minutes,United Artists,"Apr 20, 1977",Annie Hall,https://www.rottentomatoes.com/m/annie_hall,Woody AllenMarshall Brickman
George Lucas,Action & AdventureDramaScience Fiction & Fantasy,PG (for sci-fi violence and brief mild language),93%,125 minutes,20th Century Fox,"May 25, 1977",Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars,George Lucas
Philip Kaufman,HorrorMystery & SuspenseScience Fiction & Fantasy,"PG (adult situations/language, nudity, violence)",95%,115 minutes,MGM Home Entertainment,"Dec 22, 1978",Invasion of the Body Snatchers,https://www.rottentomatoes.com/m/1010679_invasion_of_the_body_snatchers,W.D. Richter
John Carpenter,HorrorMystery & Suspense,R,95%,93 minutes,Compass International Pictures,"Oct 25, 1978",Halloween,https://www.rottentomatoes.com/m/1009113_halloween,John CarpenterDebra Hill
Dario Argento,DramaHorror,R,93%,97 minutes,International Classics Inc.,"Feb 1, 1977",Suspiria,https://www.rottentomatoes.com/m/1020662_suspiria,Dario ArgentoDaria Nicolodi
Sidney Lumet,Action & AdventureDramaMystery & SuspenseRomance,PG-13,23%,109 minutes,Buena Vista Pictures,"Jan 1, 1992",A Stranger Among Us,https://www.rottentomatoes.com/m/stranger_among_us,Robert J. Avrech
John Landis,Action & AdventureComedy,R,10%,109 minutes,Paramount Home Video,"May 25, 1994",Beverly Hills Cop III,https://www.rottentomatoes.com/m/beverly_hills_cop_3,Steven E. de SouzaJohn BishopWilliam OsborneWilliam DaviesMichael Alan Eddy
Richard Donner,Action & AdventureMystery & Suspense,R,15%,105 minutes,Warner Home Video,"Oct 6, 1995",Assassins,https://www.rottentomatoes.com/m/assassins,Lilly WachowskiLana WachowskiBrian Helgeland
Danny Cannon,Action & AdventureScience Fiction & Fantasy,R,17%,96 minutes,Hollywood Pictures,"Jun 30, 1995",Judge Dredd,https://www.rottentomatoes.com/m/judge_dredd,Steven E. de SouzaWilliam Wisher Jr.Walon GreenJohn FasanoMichael Deluca
Frank Marshall,Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13,22%,108 minutes,Paramount Home Video,"Jun 9, 1995",Congo,https://www.rottentomatoes.com/m/congo,John Patrick Shanley
Rick Friedberg,Action & AdventureComedy,PG-13,8%,80 minutes,Hollywood Pictures,"May 24, 1996",Spy Hard,https://www.rottentomatoes.com/m/spy_hard,Rick FriedbergDick ChudnowJason FriedbergAaron Seltzer
John R. Leonetti,Action & AdventureScience Fiction & Fantasy,PG-13 (For non-stop martial arts violence),2%,94 minutes,New Line Home Entertainment,"Nov 21, 1997",Mortal Kombat: Annihilation,https://www.rottentomatoes.com/m/mortal_kombat_annihilation,Brent V. FriedmanBryce Zabel
Jay Roach,ComedyRomance,PG-13 (for sexual innuendo and crude humor),51%,105 minutes,New Line Cinema,"Jun 11, 1999",Austin Powers: The Spy Who Shagged Me,https://www.rottentomatoes.com/m/austin_powers_the_spy_who_shagged_me,Mike MyersMichael McCullers
Greg Harrison,Drama,"R (for drug use, language and brief sexuality)",57%,84 minutes,Sony Pictures Classics,"Jun 9, 2000",Groove,https://www.rottentomatoes.com/m/groove,Greg Harrison
Takao Okawara,Action & AdventureArt House & InternationalDramaScience Fiction & Fantasy,PG (for monster violence and mild language),57%,99 minutes,TriStar Pictures,"Aug 18, 2000",Godzilla 2000,https://www.rottentomatoes.com/m/godzilla_2000,Wataru MimuraHiroshi Kashiwabara
Robert Luketic,Comedy,PG-13 (for language and sexual references),69%,96 minutes,MGM,"Jul 13, 2001",Legally Blonde,https://www.rottentomatoes.com/m/legally_blonde,Kirsten SmithKaren McCullah Lutz
Samira MakhmalbafIdrissa OuedraogoMira NairClaude LelouchYoussef ChahineDanis TanovicKen LoachAlejandro González IñárrituAmos GitaiSean PennShohei Imamura,Art House & InternationalDramaSpecial Interest,NR,78%,135 minutes,Empire Pictures,"Sep 11, 2002",11'09''01 - September 11,https://www.rottentomatoes.com/m/september_11,Idrissa OuedraogoSean PennPaul LavertySamira MakhmalbafDaisuke TenganDanis TanovicVladimir VegaPierre UytterhoevenAmos GitaiMarie-Jose SanselmeSabrina DhawanKen LoachYoussef ChahineClaude Lelouch
Nigel Cole,ComedySpecial Interest,"PG-13 (for nudity, some language and drug-related material)",75%,108 minutes,Buena Vista Pictures,"Dec 19, 2003",Calendar Girls,https://www.rottentomatoes.com/m/calendar_girls,Juliette TowhidiTim Firth
Vadim Perelman,Drama,"R (for some violence/disturbing images, language and a scene of sexuality)",74%,126 minutes,DreamWorks SKG,"Dec 26, 2003",House of Sand and Fog,https://www.rottentomatoes.com/m/house_of_sand_and_fog,Shane OttoVadim PerelmanShawn Otto
Ralph Bakshi,Action & AdventureAnimationComedyScience Fiction & Fantasy,PG-13 (for language and sensuality),4%,102 minutes,Paramount Home Video,"Jul 10, 1992",Cool World,https://www.rottentomatoes.com/m/1040378_cool_world,Michael GraisMark VictorLarry Gross
Chan-wook Park,Art House & InternationalDramaMystery & Suspense,"R (for strong violent content -- some involving children, and some sexuality)",76%,114 minutes,Picture This! Entertainment,"Jul 29, 2005",Sympathy for Lady Vengeance,https://www.rottentomatoes.com/m/sympathy_for_lady_vengeance,Chan-wook ParkChung Seo-KyungSeo-Kyoung ChungSeo-Gyeong Jeong
Lucrecia Martel,Art House & InternationalDrama,R (for some sexual content and brief nudity),77%,103 minutes,Fine Line Features,"Apr 29, 2005",The Holy Girl,https://www.rottentomatoes.com/m/the_holy_girl,Lucrecia Martel
Dai Sijie,Art House & InternationalComedyDramaRomance,NR,77%,111 minutes,Soda Pictures Ltd.,"Jul 29, 2005",Balzac and the Little Chinese Seamstress,https://www.rottentomatoes.com/m/balzac_and_the_little_chinese_seamstress,Dai SijieNadine Perront
Stephen Gaghan,DramaMystery & Suspense,R (for violence and language),73%,128 minutes,Warner Bros. Pictures,"Dec 9, 2005",Syriana,https://www.rottentomatoes.com/m/syriana,Stephen Gaghan
George A. Romero,Action & AdventureDramaHorrorMystery & Suspense,"R (for pervasive strong violence and gore, language, brief sexuality and some drug use)",74%,92 minutes,Universal Pictures,"Jun 24, 2005",Land of the Dead,https://www.rottentomatoes.com/m/land_of_the_dead,George A. Romero
Hans Petter Moland,Drama,R (for some language and a crude sexual reference),78%,125 minutes,Sony Pictures Classics,"Jul 8, 2005",The Beautiful Country,https://www.rottentomatoes.com/m/beautiful_country,Sabina MurrayLarry Gross
Mike Binder,ComedyDramaRomance,"R (for language, sexual situations, brief comic violence and some drug use)",74%,118 minutes,New Line Cinema,"Mar 11, 2005",The Upside of Anger,https://www.rottentomatoes.com/m/upside_of_anger,Mike Binder
Gus Van Sant,HorrorMystery & Suspense,R (for violence and sexuality/nudity),38%,100 minutes,Universal Pictures,"Dec 4, 1998",Psycho,https://www.rottentomatoes.com/m/1084964_psycho,Joseph Stefano
Jon Favreau,Action & AdventureKids & FamilyScience Fiction & Fantasy,"PG (for fantasy action and peril, and some language)",75%,113 minutes,Sony Pictures,"Nov 11, 2005",Zathura,https://www.rottentomatoes.com/m/zathura,David KoeppJohn Kamps
Curtis Hanson,ComedyDrama,"PG-13 (for thematic material, language and some sexual content)",75%,90 minutes,20th Century Fox,"Oct 7, 2005",In Her Shoes,https://www.rottentomatoes.com/m/in_her_shoes,Susannah Grant
Ken Kwapis,ComedyDrama,"PG (for thematic elements, some sensuality and language)",77%,119 minutes,Warner Bros. Pictures,"Jun 1, 2005",The Sisterhood of the Traveling Pants,https://www.rottentomatoes.com/m/sisterhood_of_the_traveling_pants,Delia EphronElizabeth Chandler
Kevin WillmottKen Willmott,ComedyDocumentary,"PG-13 (for strong thematic material involving racial issues, language and disturbing images)",80%,89 minutes,IFC Films,"Oct 7, 2005",CSA: The Confederate States of America,https://www.rottentomatoes.com/m/csa_the_confederate_states_of_america,Kevin Willmott
David Dobkin,ComedyRomance,R (for sexual content/nudity and language),76%,120 minutes,New Line Cinema,"Jul 15, 2005",Wedding Crashers,https://www.rottentomatoes.com/m/wedding_crashers,Steve FaberBob Fisher
Frank Nissen,AnimationKids & Family,G,80%,67 minutes,Buena Vista,"Feb 11, 2005",Pooh's Heffalump Movie,https://www.rottentomatoes.com/m/poohs_heffalump_movie,Brian HohlfeldEvan Spiliotopoulos
Lodge Kerrigan,DramaMystery & Suspense,"R (for a scene of strong sexuality, drug use and language)",81%,94 minutes,Magnolia,"Sep 16, 2005",Keane,https://www.rottentomatoes.com/m/keane,Lodge Kerrigan
Andrew Adamson,Kids & FamilyScience Fiction & Fantasy,PG (for battle sequences and frightening moments),76%,139 minutes,Buena Vista,"Dec 9, 2005","The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",https://www.rottentomatoes.com/m/chronicles_of_narnia_lion_witch_wardrobe,Ann PeacockAndrew AdamsonChristopher MarkusStephen McFeely
Woody Allen,DramaMystery & Suspense,R (for some sexuality),76%,124 minutes,Dreamworks,"Dec 28, 2005",Match Point,https://www.rottentomatoes.com/m/match_point,Woody Allen
Nimród Antal,Action & AdventureArt House & InternationalDramaMystery & Suspense,"R (for language, some violence and brief sexuality)",82%,105 minutes,ThinkFilm Inc.,"Apr 1, 2005",Control (Kontroll),https://www.rottentomatoes.com/m/kontroll,Jim AdlerNimród Antal
Paul ProvenzaPenn Jillette,ComedyDocumentarySpecial Interest,NR (adult situations/language),79%,90 minutes,ThinkFilm,"Jan 24, 2006",The Aristocrats,https://www.rottentomatoes.com/m/aristocrats,
Steven Spielberg,Action & AdventureScience Fiction & Fantasy,PG-13 (for frightening sequences of sci-fi violence and disturbing images),75%,117 minutes,Paramount Pictures,"Jun 29, 2005",War of the Worlds,https://www.rottentomatoes.com/m/war_of_the_worlds,Josh FriedmanDavid Koepp
Daniel Burman,Art House & InternationalComedyDrama,NR,83%,97 minutes,New Yorker Films,"Feb 4, 2005",Lost Embrace,https://www.rottentomatoes.com/m/lost_embrace,Marcelo BirmajerDaniel BurmanMarcelo Biromajer
Don Argott,DocumentaryMusical & Performing Arts,R (for language),82%,93 minutes,Newmarket Films,"Sep 13, 2005",Rock School,https://www.rottentomatoes.com/m/rock_school,
Shona Auerbach,Drama,PG-13 (for language),81%,102 minutes,Miramax Films,"Mar 4, 2005",Dear Frankie,https://www.rottentomatoes.com/m/dear_frankie,Andrea GibbShona Auerbach
Chan-wook Park,DramaMystery & Suspense,"R (for strong violence including scenes of torture, sexuality and pervasive language)",80%,118 minutes,Tartan Films,"Mar 25, 2005",Oldboy,https://www.rottentomatoes.com/m/oldboy,Chan-wook ParkLim Joon-hyungHwang Jo-yunLim Jun-hyeong
Matthew Vaughn,Action & AdventureDramaMystery & Suspense,"R (for strong brutal violence, sexuality, nudity, pervasive language and drug use)",80%,104 minutes,Sony Classics,"May 13, 2005",Layer Cake,https://www.rottentomatoes.com/m/layer_cake,J.J. Connolly
Steven Spielberg,DramaMystery & Suspense,"R (for strong graphic violence, some sexual content, nudity and language)",78%,163 minutes,Universal Pictures,"Dec 23, 2005",Munich,https://www.rottentomatoes.com/m/munich,Tony KushnerEric Roth
James CameronSteven Quale,DocumentarySpecial Interest,G,84%,47 minutes,Buena Vista Distribution,"Nov 1, 2005",Aliens of the Deep,https://www.rottentomatoes.com/m/aliens_of_the_deep,
Takashi MiikeFruit ChanChan-wook ParkKim Jee-woonNonzee Nimibutr,Art House & InternationalHorror,"R (for strong disturbing violent content, some involving abortion and torture, and for sexuality and language)",84%,125 minutes,Lionsgate,"Oct 28, 2005",Three...Extremes (Saam gaang yi),https://www.rottentomatoes.com/m/threeextremes,Lilian LeeChan-wook ParkHaruko Fukushima
Miranda July,Art House & InternationalComedyDrama,"R (for disturbing sexual content involving children, and for language)",82%,90 minutes,IFC Films,"Jun 24, 2005",Me and You and Everyone We Know,https://www.rottentomatoes.com/m/me_and_you_and_everyone_we_know,Miranda July
Michael Caton-Jones,Drama,"R (for strong violence, disturbing images and language)",84%,115 minutes,IFC First Take,"Dec 8, 2005",Beyond the Gates,https://www.rottentomatoes.com/m/beyond_the_gates,David WolstencroftRichard AlwynDavid Belton
Robert RodriguezQuentin TarantinoFrank Miller (II),Action & AdventureDramaMystery & Suspense,"R (for sustained strong stylized violence, nudity and sexual content including dialogue)",77%,124 minutes,Dimension Films,"Apr 1, 2005",Sin City,https://www.rottentomatoes.com/m/sin_city,Frank Miller (II)Robert Rodriguez
Erik Van Looy,Action & AdventureDramaMystery & Suspense,"R (for violence, sexuality and nudity)",84%,120 minutes,Sony Pictures Classics,"Aug 26, 2005",De zaak Alzheimer (The Memory of a Killer),https://www.rottentomatoes.com/m/de_zaak_alzheimer,Jef GeeraertsCarl LoosErik Van Looy
Géla Babluani,Art House & InternationalDramaMystery & Suspense,NR,84%,93 minutes,Palm Pictures,"Jul 28, 2005",13 Tzameti,https://www.rottentomatoes.com/m/13_tzameti,Géla Babluani
Asif Kapadia,Action & AdventureArt House & InternationalDrama,R (for some violence),83%,86 minutes,Miramax Films,"Jul 15, 2005",The Warrior,https://www.rottentomatoes.com/m/1147812_warrior,Asif KapadiaTim Miller
Álex de la Iglesia,Art House & InternationalComedyDramaMystery & Suspense,NR,85%,105 minutes,Vitagraph Films,"Sep 2, 2005",The Perfect Crime (El Crimen Perfecto)(Crimen ferpecto),https://www.rottentomatoes.com/m/the_perfect_crime_2005,Álex de la IglesiaJorge Guerricaechevarría
Roger Donaldson,Action & AdventureDrama,"PG-13 (for brief language, drug use and a sexual reference)",82%,127 minutes,Magnolia Distribution,"Dec 7, 2005",The World's Fastest Indian,https://www.rottentomatoes.com/m/worlds_fastest_indian,Roger Donaldson
David LaChapelle,DocumentaryMusical & Performing ArtsSpecial Interest,"PG-13 (for suggestive content, drug references, language and brief nudity)",84%,85 minutes,Lions Gate Films,"Oct 25, 2005",Rize,https://www.rottentomatoes.com/m/rize,
Fenton BaileyRandy Barbato,DocumentaryTelevision,NC17 (for explicit sexual content),83%,90 minutes,Universal Pictures,"Feb 11, 2005",Inside Deep Throat,https://www.rottentomatoes.com/m/inside_deep_throat,Randy BarbatoFenton Bailey
Emmanuel Carrère,Art House & InternationalDrama,NR,86%,86 minutes,Cinema Guild,"Oct 7, 2005",La Moustache,https://www.rottentomatoes.com/m/moustache,Emmanuel CarrèreJérôme BeaujourJerome Beajour
Craig Brewer,Drama,"R (for sex and drug content, pervasive language and some violence)",82%,116 minutes,MTV Films,"Jul 22, 2005",Hustle & Flow,https://www.rottentomatoes.com/m/hustle_and_flow,Craig Brewer
Hsiao-hsien Hou,Art House & InternationalDramaRomance,NR,86%,135 minutes,IFC First Take,"May 20, 2005",Three Times (Zui hao de shi guang),https://www.rottentomatoes.com/m/three_times,T'ien-wen ChuHsiao-hsien Hou
Wes Craven,Action & AdventureMystery & Suspense,"PG-13 (for some intense sequences of violence, and language)",79%,85 minutes,Dreamworks,"Aug 19, 2005",Red Eye,https://www.rottentomatoes.com/m/1149496_1149496_red_eye,Carl Ellsworth
Ron Howard,Action & AdventureDrama,PG-13 (for intense boxing violence and some language),80%,144 minutes,Universal Pictures,"May 29, 2005",Cinderella Man,https://www.rottentomatoes.com/m/cinderella_man,Ron HowardAkiva GoldsmanCliff HollingsworthC. Gaby Mitchell
Arnaud Desplechin,Art House & InternationalComedyDrama,NR,86%,150 minutes,Wellspring,"May 13, 2005",Rois et Reine (Kings and Queen),https://www.rottentomatoes.com/m/rois_et_reine,Roger BohbotArnaud Desplechin
Marilyn Agrelo,DocumentaryKids & FamilyMusical & Performing ArtsSpecial Interest,PG (for some thematic elements),84%,110 minutes,Paramount Classics,"May 20, 2005",Mad Hot Ballroom,https://www.rottentomatoes.com/m/mad_hot_ballroom,Amy Sewell
Petra EpperleinMichael TuckerMike Tucker,DocumentarySpecial Interest,"PG-13 (on appeal for strong language throughout, violent situations and some drug references)",85%,85 minutes,Palm Pictures,"Jun 28, 2005",Gunner Palace,https://www.rottentomatoes.com/m/gunner_palace,
Gregg Araki,Art House & InternationalDrama,NC17,85%,99 minutes,Tartan Films/TLA Releasing,"May 6, 2005",Mysterious Skin,https://www.rottentomatoes.com/m/mysterious_skin,Gregg Araki
Alice Wu,ComedyDramaRomance,R (for some sexuality and language),86%,96 minutes,Sony Pictures Classics,"May 27, 2005",Saving Face,https://www.rottentomatoes.com/m/saving_face,Alice Wu
Kar-Wai Wong,Art House & InternationalDramaScience Fiction & FantasyRomance,R (for sexual content),85%,123 minutes,Sony Pictures Classics,"Aug 5, 2005",2046,https://www.rottentomatoes.com/m/2046,Kar-Wai Wong
Jacques Audiard,Art House & InternationalDrama,R,86%,107 minutes,Wellspring,"Jul 1, 2005",De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped),https://www.rottentomatoes.com/m/beat_that_my_heart_skipped,Jacques AudiardTonino Benacquista
John Hillcoat,Action & AdventureDramaWestern,"R (for strong grisly violence, and for language.)",85%,104 minutes,First Look Pictures,"May 11, 2005",The Proposition,https://www.rottentomatoes.com/m/proposition,Nick Cave
Peter Raymont,DocumentarySpecial Interest,NR,88%,91 minutes,California Newsreel,"Nov 24, 2009",Shake Hands with the Devil: The Journey of Romeo Dallaire,https://www.rottentomatoes.com/m/shake_hands_with_the_devil_the_journey_of_romeo_dallaire,
Joss Whedon,Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of intense violence and action, and some sexual references)",83%,119 minutes,Universal Pictures,"Sep 30, 2005",Serenity,https://www.rottentomatoes.com/m/serenity,Joss Whedon
George Lucas,Action & AdventureDramaScience Fiction & Fantasy,PG-13 (for sci-fi violence and some intense images),79%,140 minutes,20th Century Fox,"May 19, 2005",Star Wars: Episode III - Revenge of the Sith,https://www.rottentomatoes.com/m/star_wars_episode_iii_revenge_of_the_sith,George Lucas
Prachya Pinkaew,Action & AdventureArt House & InternationalDrama,"R (for sequences of strong violence, language, some drug use and sexuality)",86%,105 minutes,Magnolia Pictures,"Feb 11, 2005",Ong-Bak (Ong Bak: Muay Thai Warrior),https://www.rottentomatoes.com/m/ongbak,Suphachai SithiamphianSuphachai Sithiamphan
Fernando Meirelles,DramaMystery & Suspense,"R (for language, some violent images and sexual content/nudity)",83%,128 minutes,Focus Features,"Aug 31, 2005",The Constant Gardener,https://www.rottentomatoes.com/m/constant_gardener,Jeffrey Caine
Mark WexlerMark S. Wexler,DocumentarySpecial InterestTelevision,R (for language and some sexual images),88%,95 minutes,ThinkFilm,"May 13, 2005",Tell Them Who You Are,https://www.rottentomatoes.com/m/tell_them_who_you_are,Mark WexlerRobert DeMaio
Tim Burton,ComedyKids & FamilyScience Fiction & Fantasy,"PG (for quirky situations, action and mild language)",82%,130 minutes,Warner Bros. Pictures,"Jul 15, 2005",Charlie and the Chocolate Factory,https://www.rottentomatoes.com/m/charlie_and_the_chocolate_factory,John August
Agnès Jaoui,Art House & InternationalComedyDrama,PG-13 (for brief language and a sexual reference),87%,111 minutes,Sony Pictures Classics,"Apr 1, 2005",Look at Me,https://www.rottentomatoes.com/m/look_at_me,Jean-Pierre BacriAgnès Jaoui
Bahman Ghobadi,Art House & InternationalDrama,"PG-13 (for violence, disturbing images and mature thematic material, all involving children)",88%,98 minutes,IFC Films,"Feb 17, 2005",Turtles Can Fly,https://www.rottentomatoes.com/m/turtles_can_fly,Bahman Ghobadi
James Mangold,Drama,"PG-13 (for some language, thematic material and depiction of drug dependency)",83%,94 minutes,20th Century Fox,"Nov 18, 2005",Walk the Line,https://www.rottentomatoes.com/m/walk_the_line,James MangoldGill Dennis
Jun Ichikawa,Art House & InternationalDrama,NR,89%,75 minutes,Strand Releasing,"Jul 29, 2005",Tony Takitani,https://www.rottentomatoes.com/m/tony_takitani,Jun Ichikawa
Tim BurtonMike Johnson,Action & AdventureAnimationComedyKids & FamilyScience Fiction & Fantasy,"PG (for some scary images and action, and brief mild language)",84%,74 minutes,Warner Bros. Pictures,"Sep 16, 2005",Tim Burton's Corpse Bride,https://www.rottentomatoes.com/m/corpse_bride,John AugustPamela PettlerCaroline Thompson
Eran Riklis,Art House & InternationalComedyDrama,G,88%,98 minutes,Koch Lorber Films,"Nov 16, 2005",The Syrian Bride,https://www.rottentomatoes.com/m/1153719_syrian_bride,Suha ArrafEran Riklis
Shane Black,ComedyDramaRomance,"R (for language, violence and sexuality/nudity)",85%,102 minutes,Warner Bros. Pictures,"Oct 21, 2005","Kiss Kiss, Bang Bang",https://www.rottentomatoes.com/m/kiss_kiss_bang_bang,Shane Black
Byambasuren Davaa,Art House & InternationalDramaSpecial Interest,G,90%,93 minutes,Tartan Films,"Feb 13, 2007",The Cave of the Yellow Dog (Die Hohle des gelben Hundes),https://www.rottentomatoes.com/m/cave_of_the_yellow_dog,
Greg Whiteley,DocumentaryMusical & Performing ArtsSpecial Interest,PG-13 (for drug content),90%,78 minutes,First Independent Pictures,"Apr 4, 2006",New York Doll,https://www.rottentomatoes.com/m/new_york_doll,
Judd Apatow,Comedy,"R (for pervasive sexual content, language and some drug use)",85%,132 minutes,Universal Pictures,"Aug 19, 2005",The 40 Year Old Virgin,https://www.rottentomatoes.com/m/40_year_old_virgin,Judd ApatowSteve Carell
Phil Morrison,Art House & InternationalComedyDrama,R (for sexual content and language),87%,106 minutes,Sony Pictures Classics,"Aug 3, 2005",Junebug,https://www.rottentomatoes.com/m/junebug,Angus MacLachlan
Jessica Sanders,DocumentaryDramaSpecial Interest,NR,91%,95 minutes,New Yorker Films,"Oct 21, 2005",After Innocence,https://www.rottentomatoes.com/m/after_innocence,Jessica SandersMarc H. Simon
Hany Abu-Assad,Art House & InternationalDrama,PG-13 (for mature thematic material and brief strong language),89%,90 minutes,Warner Independent Pictures,"Nov 18, 2005",Paradise Now,https://www.rottentomatoes.com/m/paradise_now,Hany Abu-AssadBero BeyerPierre Hodgson
Deepa Mehta,DramaRomance,PG-13 (for mature thematic material involving sexual situations and for brief drug use),90%,117 minutes,Fox Searchlight Pictures,"Nov 4, 2005",Water,https://www.rottentomatoes.com/m/water,Deepa Mehta
Ward SerrillWard Serrell,DocumentarySpecial InterestSports & Fitness,PG-13 (for brief strong language),87%,97 minutes,Miramax Films,"Jun 11, 2005",The Heart of the Game,https://www.rottentomatoes.com/m/the_heart_of_the_game,Ward Serrill
Hayao Miyazaki,AnimationDramaKids & FamilyScience Fiction & FantasyRomance,PG (for frightening images and brief mild language),87%,119 minutes,Buena Vista,"Jun 17, 2005",Howl's Moving Castle,https://www.rottentomatoes.com/m/howls_moving_castle,Hayao Miyazaki
Michael Wranovics,ComedyDocumentarySpecial InterestSports & Fitness,NR,92%,90 minutes,Laemmle/Zeller Films,"Apr 15, 2005",Up for Grabs,https://www.rottentomatoes.com/m/up_for_grabs,Michael Wranovics
Peter Jackson,Action & Adventure,PG-13 (for frightening adventure violence and some disturbing images),84%,187 minutes,Universal Pictures,"Dec 14, 2005",King Kong,https://www.rottentomatoes.com/m/king_kong,Fran WalshPhilippa BoyensPeter Jackson
Michael Winterbottom,ComedySports & Fitness,R (for language and sexual content),89%,94 minutes,Picturehouse,"Oct 7, 2005",Tristram Shandy: A Cock & Bull Story,https://www.rottentomatoes.com/m/tristram_shandy_a_cock_and_bull_story,Martin HardyFrank Cottrell Boyce
Michael Haneke,Art House & InternationalDramaMystery & Suspense,R (for brief strong violence),89%,117 minutes,Sony Pictures Classics,"Dec 23, 2005",Caché,https://www.rottentomatoes.com/m/cache_2005,Michael Haneke
Danny Boyle,ComedyDramaKids & Family,"PG (for thematic elements, language, some peril and mild sensuality)",88%,97 minutes,Fox Searchlight Pictures,"Mar 11, 2005",Millions,https://www.rottentomatoes.com/m/millions,Frank Cottrell Boyce
Jim Jarmusch,ComedyDramaMystery & Suspense,"R (for language, some graphic nudity and brief drug use)",87%,106 minutes,Focus Features,"Aug 5, 2005",Broken Flowers,https://www.rottentomatoes.com/m/broken_flowers,Jim Jarmusch
Fatih Akin,DramaRomance,"R (for strong graphic sexuality, pervasive language, some brutal violence and drug content)",91%,122 minutes,Strand Releasing,"Jan 21, 2005",Head-On,https://www.rottentomatoes.com/m/head_on_2005,Fatih Akin
Hubert Sauper,DocumentarySpecial Interest,NR,90%,107 minutes,Ad Vitam,"Dec 16, 2005",Darwin's Nightmare,https://www.rottentomatoes.com/m/1159353_darwins_nightmare,Hubert Sauper
Christopher Nolan,Action & AdventureScience Fiction & Fantasy,"PG-13 (for intense action violence, disturbing images and some thematic elements)",84%,140 minutes,Warner Bros. Pictures,"Jun 14, 2005",Batman Begins,https://www.rottentomatoes.com/m/batman_begins,Christopher NolanDavid S. Goyer
Joe Wright,ComedyDramaRomance,PG (for some mild thematic elements),86%,128 minutes,Focus Features,"Nov 11, 2005",Pride and Prejudice,https://www.rottentomatoes.com/m/1153077_1153077_pride_and_prejudice,Deborah Moggach
David Cronenberg,Action & AdventureDramaMystery & Suspense,"R (for strong brutal violence, graphic sexuality, nudity, language and some drug use)",87%,96 minutes,New Line Cinema,"Sep 30, 2005",A History of Violence,https://www.rottentomatoes.com/m/history_of_violence,Josh Olson
Khyentse Norbu,Art House & InternationalDocumentaryDrama,NR,93%,108 minutes,Zeitgeist Films,"Jan 28, 2005",Travelers and Magicians,https://www.rottentomatoes.com/m/travelers_and_magicians,Khyentse Norbu
